Yamaha R6;3.500;2005;55000 km;17344926;https://www.avto.net//Ads/details.asp?id=17344926&display=Yamaha%20R6
Yamaha R6 Special Edition ;3.450;2003;56000 km;17343084;https://www.avto.net//Ads/details.asp?id=17343084&display=Yamaha%20R6%20Special%20Edition%20
Yamaha R6;6.000;2006;59000 km;17309371;https://www.avto.net//Ads/details.asp?id=17309371&display=Yamaha%20R6
Yamaha R6;3.540;2004;58000 km;17303727;https://www.avto.net//Ads/details.asp?id=17303727&display=Yamaha%20R6
Yamaha R6 Financiranje brez pologa ;3.390;2004;47000 km;17278989;https://www.avto.net//Ads/details.asp?id=17278989&display=Yamaha%20R6%20Financiranje%20brez%20pologa%20
Yamaha R6;8.500;2011;50 km;17078543;https://www.avto.net//Ads/details.asp?id=17078543&display=Yamaha%20R6
