Aprilia TUONO V4 R APRC ABS odlièna;7.150;2014;35644 km;17372906;https://www.avto.net//Ads/details.asp?id=17372906&display=Aprilia%20TUONO%20V4%20R%20APRC%20ABS%20odlièna
Aprilia TUONO V4 APRC - ABS - SLO - ODLIÈNA - MENJAVA;7.790;2014;41502 km;17366667;https://www.avto.net//Ads/details.asp?id=17366667&display=Aprilia%20TUONO%20V4%20APRC%20-%20ABS%20-%20SLO%20-%20ODLIÈNA%20-%20MENJAVA
Aprilia Tuono V4;9.480;2014;7500 km;17301804;https://www.avto.net//Ads/details.asp?id=17301804&display=Aprilia%20Tuono%20V4
Aprilia Tuono V4 1000;5.950;2013;25000 km;17294444;https://www.avto.net//Ads/details.asp?id=17294444&display=Aprilia%20Tuono%20V4%201000
Aprilia Tuono redno servisiran veliko dodatne opreme;3.150;2007;65000 km;17189005;https://www.avto.net//Ads/details.asp?id=17189005&display=Aprilia%20Tuono%20redno%20servisiran%20veliko%20dodatne%20opreme
Aprilia 1000 tuono r;4.300;2007;51000 km;17149969;https://www.avto.net//Ads/details.asp?id=17149969&display=Aprilia%201000%20tuono%20r
Aprilia TUONO V4 APRC;7.990;2013;22500 km;16957283;https://www.avto.net//Ads/details.asp?id=16957283&display=Aprilia%20TUONO%20V4%20APRC
